Filtro;Pregunta;Agente1;Agente2;Agente3;Region;Grupo de edad;Sexo;"De acuerdo y totalmente de acuerdo con que ""Los hombres son la cabeza del hogar""";"De acuerdo y totalmente de acuerdo con que ""Cuando las mujeres dicen No, quieren decir Sí""";"De acuerdo y totalmente de acuerdo con que ""Los problemas familiares sólo deben discutirse con miembros de la familia.""";"De acuerdo y totalmente de acuerdo con que: ""La ropa sucia se lava en casa""";"De acuerdo y totalmente de acuerdo con que: ""Prefiero un hijo/a delincuente que gay/homosexual.""";"De acuerdo y totalmente de acuerdo con: ""El papel más importante de las mujeres es cuidar su casa y cocinar para su familia.""";"De acuerdo y totalmente de acuerdo con que: ""Algunas veces se justifica golpear a las mujeres.""";"De acuerdoy totalmente de acuerdo: ""Los hombres siempre están listos para tener sexo"" ";"De acuerdo y totalmente de acuerdo "" Yo nunca tendría un amigo gay"" ";"De acuerdo y totalmente de acuerdo: ""Para ser hombre es preciso ser aguerrido y valiente"" ";"De acuerdo y totalmente de acuerdo: ""Las mujeres que cargan condones son fáciles"" ";"De acuerdo y totalmente de acuerdo: ""No me gusta cuando veo a un hombre con actitudes femeninas""";"De acuerdo y totalmente de acuerdo: ""Un hombre que es hombre solo se acuesta con mujeres"" ";Al menos una vez:  Usted fue o ha sido castigado/a o agredido/a físicamente por parte de alguno de sus padres.;Considera que se justifica que el padre no esté presente en la vida de sus hijos/as, cuando no quiere tener ese hijo/a;Considera que se justifica que el padre no esté presente en la vida de sus hijos/as, cuando no tiene plata con que mantenerlo/a;Considera que se justifica que el padre no esté presente en la vida de sus hijos/as, cuando está muy jóven ;Considera que se justifica que el padre no esté presente en la vida de sus hijos/as, cuando la mujer se embaraza sin consultarle;Considera que se justifica que el padre no esté presente en la vida de sus hijos/as, cuando no sabe si el hijo/a es suyo;De acuerdo y totalmente de acuerdo: Cuando los hombres están bravos es mejor no provocarlos;"De acuerdo y totalmente de acuerdo: ""A veces está bien que los hombres golpeen a sus parejas"" ";"De acuerdo y totalmente de acuerdo: ""Una buena esposa obedece a su esposo aunque no esté de acuerdo"" ";"De acuerdo y totalmente de acuerdo: ""Si un hombre maltrata a su esposa, otras personas ajenas a la familia deben intervenir.""";"De acuerdo y totalmente de acuerdo: ""Las mujeres que siguen con sus parejas después de ser golpeadas es porque les gusta.""";Si ve a un hombre golpeando a una mujer - interviene durante el episodio;Si ve a un hombre golpeando a una mujer - Habla con él después del episodio ;Si ve a un hombre golpeando a una mujer - Hace de cuenta que no es con usted ;Si ve a un hombre golpeando a una mujer - Llama a la policía ;Si ve a un hombre golpeando a una mujer - No hace nada, es problema de él ;Si ve a un hombre golpeando a una mujer - Mueve a sus vecinos para hacer algo ;En su relación de pareja, trata de evitar que ella se vea con las amigas ;En su relación de pareja, trata de evitar el contacto de su pareja con su familia ;En su relación de pareja, insiste en saber donde está ella todo el tiempo ;En su relación de pareja, usted la ignora o la trata con indiferencia ;En su relación de pareja, se pone bravo si ella habla con otra persona ;En su relación de pareja sospecha, que ella le es infiel ;En su relación de pareja, espera que ella le pida permiso para ir al médico ;En su rleación de pareja, espera que le pida permiso sobre su vestuario, maquillaje o cambio de peinado;"De acuerdo y totalmente de acuerdo: ""Las mujeres que se visten de manera provocativa se exponen a que las violen"" ";"De acuerdo y totalmente de acuerdo con que: ""Cuando una mujer es violada, generalmente es porque ella se puso en esta situación"" ";Si pudiera, tendría un arma de fuego para protección ;Me daría vergüenza sair corriendo de una pelea ;Estar cerca de un homosexual me incomoda;Frente a una situación de violencia acudió a una persona familiar;Frente a una situación de violencia acudió a un amigo o amiga;Frente a una situación de violencia acudió a un cura;Frente a una situación de violencia acudió a un profesor o profesora;Frente a una situación de violencia acudió a un centro de salud;Frente a una situación de violencia acudió a la policía;Frente a una situación de violencia acudió a la defensoría del pueblo;Frente a una situación de violencia acudió a la Alcaldía;Frente a una situación de violencia acudió a la personería;Frente a una situación de violencia acudió al ICBF;Frente a una situación de violencia acudió a la casa de justicia ;Frente a una situación de violencia acudió a la casa de víctimas ;Frente a una situación de violencia acudió a la Comisaría de Familia;Frente a una situación de violencia acudió a la Fiscalía ;Frente a una situación de violencia acudió a la Gobernación;Frente a una situación de violencia acudió a un psicológo o psicológa;Frente a una situación de violencia acudió a otra persona ;De quienes acudieron a una institución, le recibieron la denuncia;De quienes acudieron a una institución, le explicaron el procedimiento legal;De quienes acudieron a una institución, le dijeron cuáles eran sus derechos;De quienes acudieron a una institución, le ordenaron o le hicieron exámenes médicos ;De quienes acudieron a una institución, la remitieron a atención psicosocial ;De quienes acudieron a una institución, le dieron protección ;De quienes acudieron a una institución, consideran que, no le pusieron atención a su caso;De quienes acudieron a una institución, consideran que, nadie sabia como ayudarla;De quienes acudieron a una institución, consideran que, la hicieron sentir mal ;De quienes acudieron a una institución, consideran que, le dijeron que era culpa suya ;De quienes acudieron a una institución, consideran que, le pidieron que llevara pruebas que no tenía ;De quienes acudieron a una institución, consideran que, la hicieron ir muchas veces sin resolverle nada ;De quienes acudieron a una institución, consideran que, la hicieron conciliar con el agresor;Ha sufrido formas de violencia física ;Ha sufrido formas de violencia sexual ;Ha sufrido formas de violencia psicológica;Su pareja le controla como usa su dinero, como forma de violencia económica ;Ha sufrido alguna de las formas de violencia de género ;Se justifica usar la violencia cuando una propiedad está en riesgo ;Se justifica usar la violencia cuando está en riesgo un ser querido;Se justifica usar la violencia cuando encuentra a su pareja con otra persona ;Se justifica usar la violencia cuando está en riesgo la patria ;Se justifica usar la violencia cuando está en riesgo la hombría ;Se justifica usar la violencia cuando está en riesgo su honor ;Se justifica usar la violencia cuando está en riesgo el honor de la familia ;Se justifica usar la violencia cuando le provocan ;Consideran que se justifica el uso de la violencia
Experiencia de las mujeres respecto a la respuesta a las VCM;De quienes acudieron a una institución, consideran que, la hicieron ir muchas veces sin resolverle nada ;41.1;31.2;27.7;ALTO PATIA Y NORTE DEL CAUCA;14 a 19 años;HOMBRE;11,25%;24,73%;91,16%;89,54%;5,10%;40,77%;1,36%;48,99%;18,25%;50,15%;12,21%;39,16%;47,95%;14,97%;15,53%;24,96%;13,84%;47,08%;39,49%;31,22%;0,00%;14,74%;88,77%;51,50%;82,10%;32,10%;12,85%;92,72%;10,31%;39,03%;0,00%;0,00%;6,59%;0,00%;0,00%;28,00%;28,00%;28,00%;18,21%;0,00%;69,69%;75,21%;25,70%;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;23,20%;89,05%;6,03%;12,79%;15,86%;30,11%;35,80%;49,67%;97,58%
Experiencia de las mujeres respecto a la respuesta a las VCM;De quienes acudieron a una institución, consideran que, la hicieron conciliar con el agresor;41.1;31.2;27.7;ALTO PATIA Y NORTE DEL CAUCA;20 a 24 años;HOMBRE;56,51%;36,44%;86,40%;92,35%;3,51%;46,34%;22,96%;77,01%;35,77%;80,95%;33,53%;43,15%;81,18%;55,64%;28,20%;18,69%;18,76%;11,94%;62,48%;50,09%;0,70%;38,36%;49,01%;30,22%;62,23%;43,08%;24,87%;50,40%;30,21%;65,82%;46,12%;5,64%;9,86%;5,64%;7,45%;9,86%;46,12%;46,12%;30,15%;0,00%;61,38%;48,47%;51,89%;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;48,58%;87,69%;39,92%;61,78%;39,81%;53,19%;70,10%;30,68%;94,60%
Experiencia de las mujeres con las violencias ;Ha sufrido formas de violencia física ;41.1;31.2;27.7;ALTO PATIA Y NORTE DEL CAUCA;25 a 29 años;HOMBRE;29,31%;27,70%;75,53%;81,55%;11,12%;31,59%;2,53%;38,42%;17,95%;43,80%;19,11%;50,22%;46,01%;26,16%;23,62%;27,05%;23,69%;23,50%;56,16%;19,18%;3,23%;12,81%;67,33%;27,30%;77,31%;55,87%;16,30%;89,93%;20,64%;45,69%;16,19%;16,53%;59,88%;16,19%;0,34%;17,23%;16,53%;0,00%;15,74%;0,00%;64,39%;61,34%;9,39%;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;17,15%;41,19%;7,82%;12,34%;8,20%;20,36%;17,69%;20,66%;44,68%
Experiencia de las mujeres con las violencias ;Ha sufrido formas de violencia sexual ;41.1;31.2;27.7;ALTO PATIA Y NORTE DEL CAUCA;30 a 34 años;HOMBRE;70,99%;14,33%;99,11%;95,83%;9,21%;58,63%;1,03%;97,45%;36,40%;89,39%;15,77%;36,52%;96,98%;29,90%;27,75%;18,33%;16,80%;17,84%;26,53%;73,04%;0,00%;63,41%;71,58%;24,56%;59,08%;67,06%;68,08%;93,45%;26,51%;77,41%;0,00%;0,00%;1,82%;1,82%;0,00%;0,40%;0,00%;0,00%;21,93%;0,00%;56,20%;61,98%;18,94%;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;54,14%;85,86%;15,60%;23,37%;61,26%;68,77%;69,21%;50,53%;94,88%
Experiencia de las mujeres con las violencias ;Ha sufrido formas de violencia psicológica;41.1;31.2;27.7;ALTO PATIA Y NORTE DEL CAUCA;35 a 39 años;HOMBRE;90,42%;91,21%;94,22%;93,08%;3,47%;91,92%;1,68%;95,55%;83,24%;89,06%;3,96%;91,06%;91,09%;8,61%;81,90%;81,17%;81,17%;87,21%;87,80%;93,73%;79,36%;87,14%;88,62%;90,16%;11,61%;6,37%;6,61%;14,54%;87,01%;13,96%;2,27%;0,00%;86,46%;0,00%;0,00%;0,00%;84,78%;82,52%;6,38%;0,00%;6,04%;83,34%;5,14%;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;83,67%;94,77%;8,13%;6,36%;83,47%;84,61%;91,07%;86,16%;97,74%
Experiencia de las mujeres con las violencias ;Su pareja le controla como usa su dinero, como forma de violencia económica ;41.1;31.2;27.7;ALTO PATIA Y NORTE DEL CAUCA;40 a 44 años;HOMBRE;77,39%;24,58%;76,61%;99,97%;7,77%;49,62%;7,08%;60,08%;9,29%;45,78%;29,20%;34,56%;84,67%;30,64%;20,83%;33,83%;24,68%;24,57%;53,81%;65,76%;0,00%;47,77%;44,64%;17,56%;50,26%;30,66%;15,27%;66,20%;42,38%;56,26%;0,00%;0,00%;12,79%;0,16%;0,16%;0,16%;9,60%;9,45%;15,58%;0,00%;21,94%;4,53%;19,39%;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;14,66%;25,59%;0,12%;6,36%;15,12%;43,67%;49,14%;15,08%;67,43%
Experiencia de las mujeres con las violencias ;Ha sufrido alguna de las formas de violencia de género ;41.1;31.2;27.7;ALTO PATIA Y NORTE DEL CAUCA;45 a 49 años;HOMBRE;77,05%;28,41%;66,44%;82,15%;6,53%;61,85%;6,11%;78,39%;30,47%;55,03%;28,14%;41,31%;93,35%;41,66%;39,18%;31,97%;38,47%;17,45%;18,36%;55,31%;10,63%;76,13%;49,52%;52,12%;70,67%;69,53%;22,60%;80,39%;42,00%;83,25%;1,38%;23,44%;36,34%;0,00%;21,97%;21,97%;35,76%;23,44%;35,11%;0,00%;26,76%;43,14%;42,34%;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;8,97%;51,02%;16,16%;41,37%;27,77%;44,62%;52,52%;43,16%;61,69%
Experiencia de las mujeres respecto a la respuesta a las VCM;Se justifica usar la violencia cuando una propiedad est� en riesgo ;41.1;31.2;27.7;ALTO PATIA Y NORTE DEL CAUCA;50 a 54 años;HOMBRE;82,67%;5,65%;90,18%;98,64%;5,94%;67,83%;2,90%;84,38%;25,52%;82,48%;63,45%;83,45%;35,98%;29,34%;65,87%;58,40%;10,27%;12,26%;72,87%;32,16%;2,90%;82,88%;37,81%;8,57%;26,27%;69,00%;79,52%;34,12%;60,46%;36,66%;66,47%;3,17%;9,74%;0,00%;0,00%;0,00%;12,14%;66,47%;77,35%;0,00%;9,05%;59,57%;20,17%;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;63,84%;75,46%;58,17%;60,06%;68,78%;75,08%;77,09%;57,57%;88,46%
Experiencia de las mujeres respecto a la respuesta a las VCM;Se justifica usar la violencia cuando est� en riesgo un ser querido;41.1;31.2;27.7;ALTO PATIA Y NORTE DEL CAUCA;55 a 59 años;HOMBRE;44,35%;33,58%;86,24%;78,39%;6,27%;46,28%;8,70%;86,44%;32,34%;68,08%;71,06%;53,46%;63,93%;14,38%;32,06%;27,45%;49,07%;19,66%;9,10%;63,62%;11,48%;19,73%;38,71%;29,02%;46,08%;26,10%;38,10%;64,67%;39,90%;61,74%;0,99%;0,00%;11,18%;0,00%;0,00%;0,00%;0,00%;0,00%;51,69%;0,00%;10,45%;57,13%;32,05%;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;41,43%;57,76%;15,08%;24,19%;39,39%;43,59%;44,65%;24,58%;69,81%
Experiencia de las mujeres respecto a la respuesta a las VCM;Se justifica usar la violencia cuando encuentra a su pareja con otra persona ;41.1;31.2;27.7;ALTO PATIA Y NORTE DEL CAUCA;14 a 19 años;MUJER;28,09%;28,51%;72,36%;76,21%;12,12%;52,08%;0,00%;53,10%;25,19%;56,74%;17,75%;25,80%;38,78%;25,60%;31,11%;28,48%;26,56%;31,13%;46,27%;32,86%;0,00%;2,24%;69,51%;21,51%;30,21%;21,03%;24,24%;96,99%;29,20%;58,99%;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;15,87%;0,00%;8,26%;36,40%;8,09%;93,84%;15,66%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;100,00%;100,00%;100,00%;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%;100,00%;0,00%;100,00%;0,00%;15,04%;7,35%;8,52%;0,41%;20,64%;4,57%;29,27%;15,52%;2,66%;2,66%;34,97%;38,73%;38,55%;50,85%
